OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI
1,16/12/,1/,0/0/0/0/,0/0/0/0/
1,16/11/,1/,0/0/0/0/,0/0/0/0/
4,16/13/,4/,0/150/50/150/,0/0/10/30/
1,16/10/,1/,0/0/0/0/,0/0/0/0/
2,16/9/,2/,0/0/50/150/,10/0/0/10/
1,17/10/,1/,0/0/0/0/,0/0/0/0/
1,17/9/,1/,0/0/0/0/,0/0/0/0/
1,17/8/,1/,0/0/0/0/,0/0/0/0/
4,17/11/,4/,0/150/50/150/,0/0/10/30/
1,18/8/,1/,0/0/0/0/,0/0/0/0/
3,18/7/,3/,0/300/50/150/,0/10/0/20/
4,18/6/,4/,0/150/50/150/,0/0/10/30/
1,19/8/,1/,0/0/0/0/,0/0/0/0/
1,19/7/,1/,0/0/0/0/,0/0/0/0/
2,19/16/,2/,0/0/50/150/,10/0/0/10/
4,19/13/,4/,0/150/50/150/,0/0/10/30/
2,19/9/,2/,0/0/50/150/,10/0/0/10/
1,19/6/,1/,0/0/0/0/,0/0/0/0/
1,20/7/,1/,0/0/0/0/,0/0/0/0/
1,20/8/,1/,0/0/0/0/,0/0/0/0/
1,20/9/,1/,0/0/0/0/,0/0/0/0/
1,20/10/,1/,0/0/0/0/,0/0/0/0/
1,20/11/,1/,0/0/0/0/,0/0/0/0/
1,20/12/,1/,0/0/0/0/,0/0/0/0/
1,20/13/,1/,0/0/0/0/,0/0/0/0/
1,20/14/,1/,0/0/0/0/,0/0/0/0/
1,20/15/,1/,0/0/0/0/,0/0/0/0/
1,20/16/,1/,0/0/0/0/,0/0/0/0/
1,21/7/,1/,0/0/0/0/,0/0/0/0/
4,21/16/,4/,0/150/50/150/,0/0/10/30/
1,21/13/,1/,0/0/0/0/,0/0/0/0/
2,21/12/,2/,0/0/50/150/,10/0/0/10/
1,22/7/,1/,0/0/0/0/,0/0/0/0/
2,22/8/,2/,0/0/50/150/,10/0/0/10/
1,22/13/,1/,0/0/0/0/,0/0/0/0/
1,22/12/,1/,0/0/0/0/,0/0/0/0/
1,22/11/,1/,0/0/0/0/,0/0/0/0/
1,22/10/,1/,0/0/0/0/,0/0/0/0/
1,22/9/,1/,0/0/0/0/,0/0/0/0/
1,23/7/,1/,0/0/0/0/,0/0/0/0/
2,23/8/,2/,0/0/50/150/,10/0/0/10/
1,23/13/,1/,0/0/0/0/,0/0/0/0/
2,23/12/,2/,0/0/50/150/,10/0/0/10/
1,23/9/,1/,0/0/0/0/,0/0/0/0/
4,23/10/,4/,0/150/50/150/,0/0/10/30/
1,24/7/,1/,0/0/0/0/,0/0/0/0/
1,24/8/,1/,0/0/0/0/,0/0/0/0/
1,24/13/,1/,0/0/0/0/,0/0/0/0/
2,24/12/,2/,0/0/50/150/,10/0/0/10/
1,24/9/,1/,0/0/0/0/,0/0/0/0/
4,24/10/,4/,0/150/50/150/,0/0/10/30/
1,25/8/,1/,0/0/0/0/,0/0/0/0/
1,25/13/,1/,0/0/0/0/,0/0/0/0/
1,26/8/,1/,0/0/0/0/,0/0/0/0/
1,26/13/,1/,0/0/0/0/,0/0/0/0/
3,26/12/,3/,0/300/50/150/,0/10/0/20/
4,27/8/,4/,0/150/50/150/,0/0/10/30/
1,27/13/,1/,0/0/0/0/,0/0/0/0/
1,27/12/,1/,0/0/0/0/,0/0/0/0/
1,27/9/,1/,0/0/0/0/,0/0/0/0/
1,27/10/,1/,0/0/0/0/,0/0/0/0/
1,27/11/,1/,0/0/0/0/,0/0/0/0/
