OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,0/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,4/-5/,3/4/,0/300/50/150/,0/3/1/50/,7.069768,65.447998,resource/tile/Buildings.png
1,4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-2/-3/,2/,0/0/50/150/,3/0/0/30/,13.181706,13.000000,resource/tile/Buildings.png
2,-2/-4/,2/,0/0/50/150/,3/0/0/30/,13.043262,13.041104,resource/tile/Buildings.png
2,-2/-2/,2/,0/0/50/150/,3/0/0/30/,12.958570,13.041104,resource/tile/Buildings.png
2,-2/-1/,2/,0/0/50/150/,3/0/0/30/,13.043591,13.041104,resource/tile/Buildings.png
2,-2/0/,2/,0/0/50/150/,3/0/0/30/,13.181706,13.000000,resource/tile/Buildings.png
4,9/-2/,4/,0/150/50/150/,0/0/10/300/,6.893950,6.888000,resource/tile/Buildings.png
4,9/-3/,4/,0/150/50/150/,0/0/10/300/,6.181706,6.000000,resource/tile/Buildings.png
4,9/-4/,4/,0/150/50/150/,0/0/10/300/,6.888613,6.888000,resource/tile/Buildings.png
4,9/0/,4/,0/150/50/150/,0/0/10/300/,6.181706,6.000000,resource/tile/Buildings.png
4,9/-1/,4/,0/150/50/150/,0/0/10/300/,5.160700,6.888000,resource/tile/Buildings.png
