OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,0/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,0/4/,4/,0/150/50/150/,0/0/10/300/,6.893125,6.888000,resource/tile/Buildings.png
1,0/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,0/7/,2/,50/0/48/150/,10/0/0/150/,13.049510,13.041104,resource/tile/Buildings.png
2,0/6/,2/,50/0/48/150/,10/0/0/150/,13.044764,13.041104,resource/tile/Buildings.png
2,0/5/,2/,50/0/48/150/,10/0/0/150/,13.043362,13.041104,resource/tile/Buildings.png
3,0/9/,3/4/,0/300/50/150/,0/3/1/50/,65.453300,65.447998,resource/tile/Buildings.png
1,0/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-23/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,-1/-4/,2/4/,50/150/50/150/,2/0/30/1000/,6.890808,6.888000,resource/tile/Buildings.png
2,-1/-3/,2/,50/0/48/150/,10/0/0/150/,13.045877,13.041104,resource/tile/Buildings.png
2,-1/-2/,2/,50/0/48/150/,10/0/0/150/,13.043722,13.041104,resource/tile/Buildings.png
2,-1/-1/,2/,50/0/48/150/,10/0/0/150/,13.058336,13.041104,resource/tile/Buildings.png
1,-1/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,-1/2/,3/4/,50/300/50/150/,0/15/2/220/,65.455162,65.447998,resource/tile/Buildings.png
1,-1/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-1/5/,2/,50/0/48/150/,10/0/0/150/,13.043811,13.041104,resource/tile/Buildings.png
2,-1/4/,2/,50/0/48/150/,10/0/0/150/,13.043393,13.041104,resource/tile/Buildings.png
1,-1/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-1/1/,2/,50/0/48/150/,10/0/0/150/,13.043426,13.041104,resource/tile/Buildings.png
1,-1/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-1/-5/,2/,50/0/48/150/,10/0/0/150/,13.042316,13.041104,resource/tile/Buildings.png
1,-1/-23/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/-24/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,1/-4/,3/4/,50/300/50/150/,0/15/2/220/,65.451553,65.447998,resource/tile/Buildings.png
1,1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,1/-2/,2/,50/0/48/150/,10/0/0/150/,13.047855,13.041104,resource/tile/Buildings.png
1,1/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,1/-1/,2/,50/0/48/150/,10/0/0/150/,13.044095,13.041104,resource/tile/Buildings.png
2,1/0/,2/,50/0/48/150/,10/0/0/150/,13.044550,13.041104,resource/tile/Buildings.png
4,1/2/,2/4/,50/150/50/150/,2/0/30/1000/,6.890018,6.888000,resource/tile/Buildings.png
1,1/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
