OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,0/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,0/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.002520,0.000000,resource/tile/Buildings.png
1,1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,1/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.002314,0.000000,resource/tile/Buildings.png
1,2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,2/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.002533,0.000000,resource/tile/Buildings.png
1,3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,3/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.002598,0.000000,resource/tile/Buildings.png
1,4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,4/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.003184,0.000000,resource/tile/Buildings.png
1,5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,5/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.003401,0.000000,resource/tile/Buildings.png
1,6/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,6/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.004053,0.000000,resource/tile/Buildings.png
1,7/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,7/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.002522,0.000000,resource/tile/Buildings.png
1,8/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,8/-1/,3/4/,50/300/50/150/,0/15/2/220/,0.003392,0.000000,resource/tile/Buildings.png
1,9/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,9/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,9/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002892,0.000000,resource/tile/Buildings.png
3,9/1/,3/4/,0/300/50/150/,0/3/1/50/,0.002663,0.000000,resource/tile/Buildings.png
1,10/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,10/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002451,0.000000,resource/tile/Buildings.png
3,10/0/,3/4/,50/300/50/150/,0/15/2/220/,0.002838,0.000000,resource/tile/Buildings.png
1,11/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,11/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002519,0.000000,resource/tile/Buildings.png
3,11/0/,3/4/,50/300/50/150/,0/15/2/220/,0.002698,0.000000,resource/tile/Buildings.png
1,12/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,12/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.003198,0.000000,resource/tile/Buildings.png
3,12/0/,3/4/,50/300/50/150/,0/15/2/220/,0.003172,0.000000,resource/tile/Buildings.png
1,13/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,13/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002490,0.000000,resource/tile/Buildings.png
3,13/0/,3/4/,50/300/50/150/,0/15/2/220/,0.002801,0.000000,resource/tile/Buildings.png
1,14/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,14/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002483,0.000000,resource/tile/Buildings.png
3,14/0/,3/4/,50/300/50/150/,0/15/2/220/,0.002639,0.000000,resource/tile/Buildings.png
1,15/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,15/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002290,0.000000,resource/tile/Buildings.png
1,16/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,16/-2/,3/4/,50/300/50/150/,0/15/2/220/,0.002491,0.000000,resource/tile/Buildings.png
