OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY,MAXPATIENCE
6,-475.000000,25.000000,-10/-11/10/-1/N/N/,-10/-11/-10/-12/-9/-12/-8/-12/-7/-12/-6/-12/-5/-12/-4/-12/-3/-12/-2/-12/-1/-12/-1/-11/-1/-10/-1/-9/-1/-8/-1/-7/-1/-6/-1/-5/-1/-4/-1/-3/-1/-2/-1/-1/-1/0/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/10/-1/,8,15.152161,15.264473,7,5,0.000000,3.494861,98.829514,-11/0/-11/-1/-11/-2/-11/-3/-11/-4/-11/-5/-11/-6/-11/-7/-11/-8/-11/-9/-11/-10/-11/-11/-10/-11/,-11/0/-10/-11/-10/0/,N,0.000000,24.990303,1,73,7
6,-225.000000,25.000000,-4/1/-5/-1/N/N/,-4/1/-4/0/-5/0/-5/-1/,8,6.601728,6.662352,9,5,0.000000,8.415353,75.380798,-5/-1/,-5/-1/-5/-1/-5/0/,N,63.398628,75.678375,0,14,9
6,-275.000000,75.000000,-5/1/-6/1/-6/1/,-5/1/-5/0/-6/0/-6/1/,8,11.620672,14.509241,7,3,0.000000,11.439422,82.513870,N,-6/1/-6/1/-6/1/,N,0.799088,28.728403,0,42,7
6,225.000000,-25.000000,4/-1/6/-1/N/N/,4/-1/4/0/5/0/6/0/6/-1/,8,13.301840,13.694760,7,5,0.000000,4.560531,80.772804,4/0/5/0/6/0/6/-1/,4/0/6/-1/4/-1/,N,18.562096,23.972893,0,4905,7
6,-275.000000,75.000000,-6/1/-10/-3/N/N/,-6/1/-6/0/-7/0/-8/0/-9/0/-10/0/-11/0/-11/-1/-11/-2/-11/-3/-10/-3/,8,5.092416,8.851667,9,1,0.000000,3.201113,65.962463,N,-6/1/-6/1/-6/1/,N,4.283184,67.143967,0,297,9
6,125.000000,25.000000,-3/1/4/-1/N/N/,-3/1/-3/0/-2/0/-1/0/0/0/1/0/2/0/3/0/4/0/4/-1/,8,20.157391,21.277493,7,5,0.000000,4.573221,78.778954,3/0/4/0/4/-1/,3/0/4/-1/2/0/,N,29.236446,33.371033,0,2385,7
6,-275.000000,75.000000,-5/1/-6/1/N/N/,-5/1/-5/0/-6/0/-6/1/,8,15.152161,22.355459,9,5,0.000000,7.510884,69.432648,-6/0/-5/0/-5/1/,-6/0/-5/1/-6/1/,N,9.968512,68.349327,0,3903,9
6,375.000000,-575.000000,7/-12/10/-5/N/N/,7/-12/8/-12/9/-12/9/-11/10/-11/10/-10/10/-9/10/-8/10/-7/10/-6/10/-5/,8,12.459488,18.344650,7,1,0.799088,3.035075,88.259880,N,7/-12/7/-12/7/-12/,N,43.138985,48.097359,0,1840,7
6,-225.000000,275.000000,-10/-2/-5/5/N/N/,-10/-2/-11/-2/-11/-1/-11/0/-11/1/-11/2/-11/3/-10/3/-9/3/-8/3/-7/3/-6/3/-6/4/-5/4/-5/5/,8,16.931520,17.619698,7,2,0.000000,7.867566,86.421249,N,-5/5/-5/5/-5/5/,N,37.736919,65.658386,0,2869,7
6,-225.000000,75.000000,-5/1/-5/1/N/N/,-5/1/,8,5.911536,11.406520,9,1,0.000000,6.005839,65.406418,N,-5/1/-5/1/-5/1/,N,8.991344,77.634941,0,9667,9
6,-25.000000,325.000000,-8/1/-2/5/-2/7/,-8/1/-8/0/-7/0/-6/0/-5/0/-4/0/-3/0/-2/0/-1/0/-1/1/-1/2/-1/3/-1/4/-1/5/-2/5/,8,1.571424,22.791571,10,5,0.000000,4.908888,62.087311,-1/7/-2/7/,-1/7/-2/7/-1/6/,N,2.518480,73.036957,1,61,10
6,25.000000,25.000000,-5/1/0/-1/1/1/,-5/1/-5/0/-4/0/-3/0/-2/0/-1/0/0/0/0/-1/,8,5.092416,14.922362,9,5,0.000000,4.209233,67.778931,1/0/1/1/,1/0/1/1/0/0/,N,1.571424,44.771362,1,1987,9
6,-125.000000,75.000000,-3/1/4/-1/N/N/,-3/1/-3/0/-2/0/-1/0/0/0/1/0/2/0/3/0/4/0/4/-1/,8,5.092416,8.028456,10,1,8.991344,10.530298,99.210732,N,-3/1/-3/1/-3/1/,N,22.508560,30.328196,0,21,10
6,-425.000000,-25.000000,-4/1/-9/-1/N/N/,-4/1/-4/0/-5/0/-6/0/-7/0/-8/0/-9/0/-9/-1/,8,3.407376,20.320461,8,2,5.911536,11.536647,98.843384,N,-9/-1/-9/-1/-9/-1/,N,16.636045,36.938362,1,16,8
6,25.000000,-325.000000,-4/-11/0/-7/N/N/,-4/-11/-4/-12/-3/-12/-2/-12/-1/-12/-1/-11/-1/-10/-1/-9/-1/-8/-1/-7/0/-7/,8,9.968512,16.838406,6,2,1.571424,8.416700,84.055298,N,0/-7/0/-7/0/-7/,N,42.809994,73.787895,0,1049,6
6,25.000000,25.000000,-5/1/0/-1/N/N/,-5/1/-5/0/-4/0/-3/0/-2/0/-1/0/0/0/0/-1/,8,3.407376,21.128538,7,5,0.000000,5.538743,88.200958,-1/0/-2/0/-3/0/-4/0/-5/0/-5/1/,-1/0/-5/1/0/0/,N,70.084229,78.382202,0,1608,7
