OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY,MAXPATIENCE
6,925.000000,-25.000000,18/-1/18/-1/18/-1/,18/-1/,8,14.647523,20.903679,5,3,3.587536,6.555406,91.081551,N,18/-1/18/-1/18/-1/,N,3.684016,58.929226,0,249,5
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,11.153296,20.846592,7,0,0.000000,5.163908,52.009441,N,N/N/N/N/0/0/,N,0.000000,57.772411,0,73,7
6,1125.000000,-225.000000,22/-5/22/-5/N/N/,22/-5/,8,2.036176,6.566511,7,2,2.036176,4.660870,89.467102,N,22/-5/22/-5/22/-5/,N,43.351498,48.077515,0,459,7
6,275.000000,-25.000000,2/-1/5/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/5/-1/,8,14.550340,18.753815,9,2,4.071856,6.209775,55.123573,N,5/-1/5/-1/5/-1/,N,25.506336,42.611076,0,64,9
6,975.000000,-425.000000,19/-9/19/-9/N/N/,19/-9/,8,6.301920,14.753674,5,2,4.071856,4.946669,79.913918,N,19/-9/19/-9/19/-9/,N,18.622192,70.803459,0,434,5
6,125.000000,-25.000000,2/-1/13/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,4.750464,12.024242,8,1,8.531425,10.686848,51.070328,N,2/-1/2/-1/2/-1/,N,5.817568,34.083580,1,7,8
6,125.000000,-25.000000,2/-1/6/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/6/-1/,8,16.781219,21.008684,10,1,1.744720,9.817265,77.800751,N,2/-1/2/-1/2/-1/,N,15.423764,75.747849,0,83,10
6,556.977478,25.000000,3/-1/13/-2/N/N/,3/-1/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/12/-1/12/-2/13/-2/,8,6.108496,6.621569,6,5,0.000000,7.735692,82.548988,11/0/12/0/12/-1/12/-2/13/-2/,11/0/13/-2/11/0/,N,12.995745,83.536621,0,42,6
6,1075.000000,-425.000000,21/-9/21/-9/N/N/,21/-9/,8,9.501585,11.472721,9,2,0.387376,3.797678,87.514664,N,21/-9/21/-9/21/-9/,N,9.016337,27.856602,0,331,9
6,675.000000,-25.000000,13/-1/13/-1/N/N/,13/-1/,8,3.199696,8.020706,9,2,0.290896,8.674658,87.157005,N,13/-1/13/-1/13/-1/,N,18.525934,24.387053,0,47,9
6,175.000000,-25.000000,3/-1/N/N/N/N/,N,8,2.424000,12.838553,10,1,2.520384,4.884427,76.008438,N,N/N/N/N/3/-1/,N,2.520384,19.032040,0,60,10
6,1125.000000,-25.000000,22/-1/22/-1/22/-1/,22/-1/,8,7.562400,17.221199,9,3,3.489536,5.623282,75.166351,N,22/-1/22/-1/22/-1/,N,3.587536,69.453995,0,381,9
6,175.000000,-25.000000,3/-1/N/N/N/N/,N,8,8.338080,12.226119,8,4,0.387376,7.975704,65.730873,N,N/N/N/N/3/-1/,N,8.435040,50.551785,0,68,8
6,1125.000000,-125.000000,22/-3/22/-3/N/N/,22/-3/,8,2.811329,20.176376,9,2,6.301920,7.199124,94.384537,N,22/-3/22/-3/22/-3/,N,9.016242,13.561946,1,43,10
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,13.286066,21.870689,7,0,0.000000,6.961837,87.040443,N,N/N/N/N/0/0/,N,0.000000,66.252686,0,76,7
6,725.000000,-425.000000,14/-9/14/-9/N/N/,14/-9/,8,0.872160,15.711448,6,2,2.424000,9.798494,69.563286,N,14/-9/14/-9/14/-9/,N,25.119326,39.176765,0,47,6
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,9.016721,20.810768,9,0,0.000000,9.673917,80.997261,N,N/N/N/N/0/0/,N,0.000000,60.849564,0,96,9
6,1025.000000,-425.000000,20/-9/20/-9/N/N/,20/-9/,8,7.174560,8.016575,7,2,3.393616,8.270214,86.412292,N,20/-9/20/-9/20/-9/,N,23.955761,26.749063,0,41,7
6,1125.000000,-375.000000,22/-8/22/-8/N/N/,22/-8/,8,5.525680,15.214657,5,1,3.877920,4.020845,68.465042,N,22/-8/22/-8/22/-8/,N,20.853546,53.119877,0,455,5
6,175.000000,-25.000000,3/-1/N/N/N/N/,N,8,1.841728,8.085262,6,1,1.938688,4.930296,95.680145,N,N/N/N/N/3/-1/,N,1.938688,37.809250,0,80,6
6,675.000000,-175.000000,13/-4/13/-4/13/-4/,13/-4/,8,22.889648,23.426374,5,3,4.556560,6.250702,53.865742,N,13/-4/13/-4/13/-4/,N,4.653440,25.545654,0,2,5
6,825.000000,-425.000000,16/-9/16/-9/N/N/,16/-9/,8,0.678256,8.129753,6,2,1.841728,4.574164,75.074783,N,16/-9/16/-9/16/-9/,N,13.480034,61.314133,0,484,6
6,652.899719,-25.000000,2/-1/13/-1/13/-2/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,13.286066,19.018888,9,5,0.000000,4.348105,57.051311,12/-1/12/-2/13/-2/,12/-1/13/-2/13/-1/,N,0.484336,43.570068,1,53,9
6,925.000000,-425.000000,18/-9/18/-9/N/N/,18/-9/,8,5.623184,9.681062,9,1,3.877920,4.558160,89.959229,N,18/-9/18/-9/18/-9/,N,8.822818,24.906033,0,249,9
6,975.000000,-25.000000,19/-1/19/-1/N/N/,19/-1/,8,7.174560,13.976215,5,2,0.968560,9.998187,58.074856,N,19/-1/19/-1/19/-1/,N,9.016257,14.726408,1,58,7
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,3.684016,18.016392,5,0,0.000000,10.865396,96.098671,N,N/N/N/N/0/0/,N,0.000000,60.495560,0,84,5
6,125.000000,-25.000000,2/-1/2/-1/N/N/,2/-1/,8,17.071651,17.778847,9,2,5.235376,10.147122,88.632462,N,2/-1/2/-1/2/-1/,N,31.324270,41.210838,0,67,9
6,875.000000,-425.000000,17/-9/17/-9/17/-9/,17/-9/,8,2.036176,6.126841,5,3,5.623184,7.636405,60.251934,N,17/-9/17/-9/17/-9/,N,5.720160,69.912506,0,250,5
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,2.617936,16.612793,5,0,0.000000,10.754108,70.683380,N,N/N/N/N/0/0/,N,0.000000,29.491966,0,68,5
6,125.000000,-25.000000,2/-1/2/-1/N/N/,2/-1/,8,13.577505,18.141708,8,2,0.484336,3.978516,78.508766,N,2/-1/2/-1/2/-1/,N,47.131611,83.781075,0,581,8
6,167.136032,25.000000,2/-1/13/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,6.592800,8.145294,5,5,0.000000,4.995413,72.486336,3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,3/0/13/-1/3/0/,N,10.471169,50.120064,1,48,5
6,1125.000000,-275.000000,22/-6/22/-6/22/-6/,22/-6/,8,19.108255,19.354515,5,3,1.551360,4.109030,67.001610,N,22/-6/22/-6/22/-6/,N,1.648336,46.727669,0,363,5
6,775.000000,-425.000000,15/-9/15/-9/15/-9/,15/-9/,8,1.744720,7.098907,7,3,2.520384,7.447699,51.569424,N,15/-9/15/-9/15/-9/,N,2.617936,48.865936,0,172,7
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,0.484336,11.825285,9,0,0.000000,5.255979,76.028770,N,N/N/N/N/0/0/,N,0.000000,63.743954,0,81,9
6,175.000000,-25.000000,2/-1/3/-1/3/-1/,2/-1/2/0/3/0/3/-1/,8,0.484336,19.389156,6,3,2.617936,9.787385,73.449921,N,3/-1/3/-1/3/-1/,N,2.714464,18.767870,0,6,6
6,675.000000,-275.000000,13/-6/13/-6/N/N/,13/-6/,8,5.235376,9.357647,7,2,3.684016,8.897623,88.283676,N,13/-6/13/-6/13/-6/,N,52.853809,68.448311,0,201,7
6,1125.000000,-75.000000,22/-2/22/-2/N/N/,22/-2/,8,0.872160,7.539479,9,1,3.877920,4.966265,72.255051,N,22/-2/22/-2/22/-2/,N,9.210657,32.047314,0,263,9
6,175.000000,-25.000000,3/-1/3/-1/N/N/,3/-1/,8,13.286066,18.425362,10,2,0.968560,9.866476,54.424026,N,3/-1/3/-1/3/-1/,N,5.816079,46.379883,1,75,10
6,675.000000,-25.000000,2/-1/13/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,13.674481,20.863426,7,2,3.489536,5.450548,81.171776,N,13/-1/13/-1/13/-1/,N,5.719583,52.281288,1,39,7
6,675.000000,-375.000000,13/-8/13/-8/N/N/,13/-8/,8,4.847520,6.205263,9,1,6.108496,7.129479,75.369362,N,13/-8/13/-8/13/-8/,N,13.577505,40.683670,0,196,9
6,675.000000,-225.000000,13/-5/13/-5/N/N/,13/-5/,8,2.811329,16.907024,8,1,2.714464,4.457754,62.284721,N,13/-5/13/-5/13/-5/,N,39.667225,76.671120,0,475,8
6,1125.000000,-325.000000,22/-7/22/-7/N/N/,22/-7/,8,1.163024,16.592289,5,1,0.484336,6.682197,80.924957,N,22/-7/22/-7/22/-7/,N,48.390076,69.980835,0,288,5
6,1125.000000,-175.000000,22/-4/22/-4/N/N/,22/-4/,8,7.465424,7.750065,10,1,3.296656,5.267586,86.707649,N,22/-4/22/-4/22/-4/,N,58.087902,75.706833,0,415,10
6,125.000000,-25.000000,2/-1/13/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,0.678256,12.787895,8,1,5.429280,5.473446,75.487068,N,2/-1/2/-1/2/-1/,N,43.352234,74.711395,0,73,8
6,675.000000,-325.000000,13/-7/13/-7/N/N/,13/-7/,8,6.204976,10.178818,8,2,9.016721,9.291976,65.722694,N,13/-7/13/-7/13/-7/,N,5.138319,36.018326,1,40,8
6,675.000000,-125.000000,13/-3/13/-3/N/N/,13/-3/,8,3.489536,10.018412,8,2,1.356912,4.259226,73.148567,N,13/-3/13/-3/13/-3/,N,55.369038,74.296982,0,539,8
6,675.000000,-75.000000,13/-2/13/-2/N/N/,13/-2/,8,7.368448,7.911390,7,1,4.847520,4.902576,60.350094,N,13/-2/13/-2/13/-2/,N,16.295940,65.999977,0,389,7
6,257.883453,25.000000,2/-1/13/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,4.750464,8.899129,9,5,0.000000,3.644302,58.840687,4/0/3/0/2/0/2/-1/,4/0/2/-1/5/0/,N,32.783001,69.732506,0,36,9
6,1025.000000,-25.000000,20/-1/20/-1/N/N/,20/-1/,8,0.678256,15.287076,7,2,9.889441,11.900759,53.364620,N,20/-1/20/-1/20/-1/,N,4.169312,13.216186,1,33,9
6,175.000000,-25.000000,2/-1/3/-1/N/N/,2/-1/2/0/3/0/3/-1/,8,11.638304,20.632618,7,2,0.678256,8.204109,74.260513,N,3/-1/3/-1/3/-1/,N,6.592752,42.043869,1,61,7
6,709.811218,25.000000,2/-1/14/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/14/0/14/-1/,8,4.750464,22.213066,7,5,0.000000,6.249739,71.874107,14/0/14/-1/,14/0/14/-1/14/0/,N,32.585690,39.714691,0,3,7
6,204.485764,25.000000,2/-1/13/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/11/0/12/0/13/0/13/-1/,8,3.102736,23.195129,5,5,0.000000,3.432237,52.956886,3/0/2/0/2/-1/,3/0/2/-1/4/0/,N,21.629217,28.685459,0,5,5
6,125.000000,-25.000000,2/-1/5/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/5/-1/,8,7.949903,13.255436,8,1,0.775216,4.153026,54.143791,N,2/-1/2/-1/2/-1/,N,9.598882,25.052900,0,14,8
