OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,0/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,0/-7/,2/,50/0/50/150/,10/0/0/150/,13.045382,13.041104,resource/tile/Buildings.png
1,0/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,0/-2/,3/4/,0/300/50/150/,0/3/1/50/,65.458473,65.447998,resource/tile/Buildings.png
1,0/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,2/-7/,2/,50/0/50/150/,10/0/0/150/,13.043135,13.041104,resource/tile/Buildings.png
1,2/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,2/-4/,3/4/,0/300/50/150/,0/3/1/50/,65.456345,65.447998,resource/tile/Buildings.png
4,2/-1/,2/4/,50/150/50/150/,2/0/30/1000/,6.888628,6.888000,resource/tile/Buildings.png
1,2/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,3/-1/,2/4/,50/150/50/150/,2/0/30/1000/,6.897495,6.888000,resource/tile/Buildings.png
1,3/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,4/-1/,2/,50/0/50/150/,10/0/0/150/,13.045190,13.041104,resource/tile/Buildings.png
1,4/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,4/-17/,3/4/,50/300/50/150/,0/15/2/220/,65.482407,65.447998,resource/tile/Buildings.png
3,4/-15/,3/4/,50/300/50/150/,0/15/2/220/,65.466148,65.447998,resource/tile/Buildings.png
1,5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,5/-1/,3/4/,50/300/50/150/,0/15/2/220/,65.451645,65.447998,resource/tile/Buildings.png
1,5/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,5/1/,2/,50/0/50/150/,10/0/0/150/,13.042848,13.041104,resource/tile/Buildings.png
2,5/2/,2/,50/0/50/150/,10/0/0/150/,13.051335,13.041104,resource/tile/Buildings.png
2,5/3/,2/,50/0/50/150/,10/0/0/150/,13.046225,13.041104,resource/tile/Buildings.png
2,5/4/,2/,50/0/50/150/,10/0/0/150/,13.042941,13.041104,resource/tile/Buildings.png
2,5/5/,2/,50/0/50/150/,10/0/0/150/,13.041361,13.041104,resource/tile/Buildings.png
3,5/-4/,3/4/,50/300/50/150/,0/15/2/220/,65.455116,65.447998,resource/tile/Buildings.png
2,5/-15/,2/,0/0/50/150/,3/0/0/30/,13.056480,13.041104,resource/tile/Buildings.png
2,5/-14/,2/,50/0/50/150/,10/0/0/150/,13.080035,13.041104,resource/tile/Buildings.png
1,5/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,5/-17/,3/4/,50/300/50/150/,0/15/2/220/,65.464592,65.447998,resource/tile/Buildings.png
3,5/-18/,3/4/,50/300/50/150/,0/15/2/220/,65.476288,65.447998,resource/tile/Buildings.png
