OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/HAS_HOME/HAS_WORK_PLACE/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY
6,-119.608612,-225.000000,-4/-3/-2/-5/N/N/,-4/-3/-3/-3/-3/-4/-3/-5/-2/-5/,15,0.000000,6.393352,10,5,0.000000,8.050388,64.739746,N,-2/-5/-4/-3/-2/-5/-3/-5/,N,0.654289,78.507820,1,2179
6,375.000000,-825.000000,7/-17/N/N/N/N/,N,12,3.103660,7.853591,9,1,0.000000,10.065379,60.323177,N,N/N/N/N/N/N/7/-17/,N,3.103660,13.580435,0,51
6,-225.000000,-25.000000,-5/-1/9/1/N/N/,-5/-1/-5/0/-4/0/-3/0/-2/0/-1/0/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/1/,14,0.000000,20.667614,7,1,9.557276,10.381693,73.999535,N,-5/-1/N/N/N/N/-5/-1/,N,16.511227,41.897621,0,326
6,-190.888748,25.000000,-5/-2/9/1/N/N/,-5/-2/-6/-2/-6/-1/-6/0/-5/0/-4/0/-3/0/-2/0/-1/0/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/1/,15,0.000000,17.294350,9,4,0.000000,3.431307,76.021011,-5/-2/-6/-2/-6/-1/-6/0/,-5/0/5/-1/-5/-2/-4/0/,N,5.337387,44.490997,0,1650
6,-225.000000,-225.000000,-5/-5/9/1/N/N/,-5/-5/-5/-6/-4/-6/-3/-6/-2/-6/-1/-6/0/-6/1/-6/2/-6/3/-6/4/-6/5/-6/6/-6/6/-5/6/-4/6/-3/6/-2/6/-1/6/0/7/0/8/0/9/0/9/1/,14,0.000000,20.252096,10,1,4.053900,4.743037,96.744568,N,-5/-5/N/N/N/N/-5/-5/,N,12.262318,61.447987,0,1732
6,375.000000,-875.000000,7/-17/7/-18/N/N/,7/-17/6/-17/6/-18/7/-18/,14,0.000000,14.200672,8,2,2.147292,6.080012,60.773167,N,7/-18/N/N/N/N/7/-18/,N,5.689957,83.547569,1,-4778
6,-225.000000,-225.000000,-5/-5/9/1/N/N/,-5/-5/-5/-6/-4/-6/-3/-6/-2/-6/-1/-6/0/-6/1/-6/2/-6/3/-6/4/-6/5/-6/6/-6/6/-5/6/-4/6/-3/6/-2/6/-1/6/0/7/0/8/0/9/0/9/1/,14,0.000000,14.342088,6,1,0.851868,4.180124,55.285057,N,-5/-5/N/N/N/N/-5/-5/,N,62.650566,76.651611,0,1068
6,125.000000,-25.000000,5/2/2/-1/N/N/,5/2/6/2/6/1/6/0/5/0/4/0/3/0/2/0/2/-1/,14,0.000000,13.509422,9,2,2.147292,8.717653,58.251465,N,2/-1/N/N/N/N/2/-1/,N,65.551231,72.804688,0,1263
6,3.527969,25.000000,-5/-4/10/1/N/N/,-5/-4/-6/-4/-6/-3/-6/-2/-6/-1/-6/0/-5/0/-4/0/-3/0/-2/0/-1/0/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/10/1/,15,0.000000,22.969715,6,5,0.000000,4.591748,91.095062,1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/10/0/10/1/,0/0/-5/-4/10/1/0/0/,N,0.145046,18.218187,1,553
6,475.000000,75.000000,-5/-2/9/1/N/N/,-5/-2/-6/-2/-6/-1/-6/0/-5/0/-4/0/-3/0/-2/0/-1/0/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/1/,14,0.000000,17.549570,6,2,1.700060,9.548245,87.870422,N,9/1/N/N/N/N/9/1/,N,29.839857,44.363071,1,511
6,425.000000,-825.000000,8/-17/N/N/N/N/,N,12,2.597404,8.586884,8,1,0.000000,6.629555,68.382866,N,N/N/N/N/N/N/8/-17/,N,11.835053,32.372467,0,59
6,375.000000,-825.000000,7/-17/8/-19/N/N/,7/-17/6/-17/6/-18/6/-19/6/-20/7/-20/8/-20/8/-19/,14,0.000000,8.462561,10,1,10.067100,10.728018,80.394737,N,7/-17/N/N/N/N/7/-17/,N,12.262318,40.277328,0,-4140
6,475.000000,75.000000,-5/-5/9/1/N/N/,-5/-5/-5/-6/-4/-6/-3/-6/-2/-6/-1/-6/0/-6/1/-6/2/-6/3/-6/4/-6/5/-6/6/-6/6/-5/6/-4/6/-3/6/-2/6/-1/6/0/7/0/8/0/9/0/9/1/,14,0.000000,12.222878,8,2,3.103660,8.110806,83.771965,N,9/1/N/N/N/N/9/1/,N,32.376202,39.999672,0,489
6,422.158356,-775.000000,7/-17/7/-16/8/-17/,7/-17/6/-17/6/-16/7/-16/,15,0.000000,23.002232,7,6,0.000000,8.760331,55.358871,8/-17/,8/-16/7/-16/8/-17/8/-16/,N,1.286028,68.656898,0,-5547
