OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/HAS_HOME/HAS_WORK_PLACE/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY
6,225.000000,-25.000000,4/-1/1/7/N/N/,4/-1/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,14,0.000000,9.099055,6,1,6.931465,6.942089,86.397453,N,4/-1/N/N/N/N/4/-1/,N,11.541932,34.164391,1,1459
6,225.000000,-19.233942,4/-1/1/8/N/N/,4/-1/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,15,0.000000,21.969336,7,5,0.000000,10.125792,66.599579,3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,4/0/4/-1/1/8/4/-1/,N,16.180321,56.226234,1,1041
6,75.000000,375.000000,5/-1/1/7/N/N/,5/-1/5/0/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,14,0.000000,14.307649,9,2,2.557470,8.402922,95.368851,N,1/7/N/N/N/N/1/7/,N,1.378049,23.839108,1,525
6,475.000000,-25.000000,8/-1/1/8/9/-1/,8/-1/8/0/7/0/6/0/5/0/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,14,0.000000,6.534594,9,3,9.212292,10.831394,52.277145,N,9/-1/N/N/N/N/9/-1/,N,17.782045,60.316177,0,507
6,-125.000000,725.000000,1/16/-2/14/N/N/,1/16/1/15/0/15/-1/15/-2/15/-2/14/,15,0.000000,23.940786,10,4,0.000000,4.486424,70.576141,1/16/1/15/0/15/-1/15/-2/15/,-3/15/0/3/1/16/-3/14/,N,17.792046,56.566292,0,396
6,75.000000,225.000000,2/-1/1/7/N/N/,2/-1/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,15,0.000000,10.078022,5,5,0.000000,5.179985,95.920715,1/6/1/7/,1/5/2/-1/1/7/1/4/,N,11.836459,27.591686,0,1911
6,275.000000,-2.288100,5/-1/1/8/N/N/,5/-1/5/0/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,15,0.000000,21.834232,5,5,0.000000,6.580675,73.026039,4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,5/0/5/-1/1/8/5/-1/,N,14.366157,16.043694,0,483
6,125.000000,275.000000,2/6/0/5/2/5/,2/6/1/6/1/5/0/5/,14,0.000000,22.178625,9,3,6.760874,7.288229,53.025982,N,2/5/N/N/N/N/2/5/,N,1.903801,35.500378,0,1765
6,75.000000,38.375916,2/-1/1/7/N/N/,2/-1/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,15,0.000000,10.662654,7,5,0.000000,7.380778,75.741318,1/2/1/3/1/4/1/5/1/6/1/7/,1/1/2/-1/1/7/1/0/,N,14.038047,21.608753,0,575
6,125.000000,275.000000,3/-1/1/7/2/5/,3/-1/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,14,0.000000,14.933567,7,3,1.559939,3.781249,84.523743,N,2/5/N/N/N/N/2/5/,N,1.784958,17.371872,0,844
6,-225.000000,525.000000,-10/14/-16/10/-5/10/,-10/14/-10/13/-10/12/-10/11/-11/11/-12/11/-13/11/-14/11/-15/11/-16/11/-16/10/,14,0.000000,23.388596,5,3,0.311011,9.142519,81.924721,N,-5/10/N/N/N/N/-5/10/,N,7.676128,44.769848,0,255
6,75.000000,38.638779,2/-1/1/7/N/N/,2/-1/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,15,0.000000,13.919172,10,4,0.000000,6.633758,58.414967,2/-1/2/0/,1/0/2/5/2/-1/1/0/,N,4.848750,81.525955,0,1867
6,-325.000000,822.031311,-10/8/-7/16/N/N/,-10/8/-10/7/-9/7/-8/7/-7/7/-6/7/-6/8/-6/9/-6/10/-6/11/-6/12/-7/12/-7/13/-7/14/-7/15/-7/16/,15,0.000000,17.074165,9,4,0.000000,3.079997,69.654961,-10/8/-10/7/-9/7/-8/7/-7/7/-6/7/-6/8/-6/9/-6/10/-6/11/-6/12/-7/12/-7/13/-7/14/,-7/15/-7/16/-10/8/-7/16/,N,42.330208,61.660778,0,635
6,25.000000,408.274628,3/-1/1/7/N/N/,3/-1/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/1/7/,15,0.000000,16.454742,10,4,0.000000,10.948860,63.028564,3/-1/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/,0/7/1/8/3/-1/0/8/,N,1.102109,28.136917,0,376
6,325.000000,-25.000000,6/-1/1/8/N/N/,6/-1/6/0/5/0/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,14,0.000000,20.930511,5,1,3.137487,8.946803,50.930344,N,6/-1/N/N/N/N/6/-1/,N,14.691316,34.497936,0,332
6,-539.660278,25.000000,-12/-1/-8/1/N/N/,-12/-1/-12/0/-11/0/-10/0/-9/0/-8/0/-8/1/,15,0.000000,19.105202,6,5,0.000000,10.939143,99.256546,-10/0/-9/0/-8/0/-8/1/,-11/0/-12/-1/-8/1/-11/0/,N,58.561169,67.301025,0,739
6,175.000000,125.000000,4/-1/1/8/3/2/,4/-1/4/0/3/0/2/0/1/0/1/1/1/2/1/3/1/4/1/5/1/6/0/6/0/7/0/8/1/8/,14,0.000000,16.382917,5,3,4.554490,10.460640,57.939087,N,3/2/N/N/N/N/3/2/,N,8.486652,35.922081,0,365
