OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI
1,23/10/,1/,0/0/0/0/,0/0/0/0/
1,23/11/,1/,0/0/0/0/,0/0/0/0/
4,23/12/,4/,0/150/50/150/,0/0/10/30/
2,15/15/,2/,0/0/50/150/,10/0/0/10/
1,22/10/,1/,0/0/0/0/,0/0/0/0/
1,22/9/,1/,0/0/0/0/,0/0/0/0/
1,19/10/,1/,0/0/0/0/,0/0/0/0/
3,19/9/,3/,0/300/50/150/,0/10/0/20/
1,21/9/,1/,0/0/0/0/,0/0/0/0/
1,18/10/,1/,0/0/0/0/,0/0/0/0/
1,18/11/,1/,0/0/0/0/,0/0/0/0/
1,20/10/,1/,0/0/0/0/,0/0/0/0/
1,20/9/,1/,0/0/0/0/,0/0/0/0/
1,16/15/,1/,0/0/0/0/,0/0/0/0/
1,17/15/,1/,0/0/0/0/,0/0/0/0/
1,17/14/,1/,0/0/0/0/,0/0/0/0/
1,17/13/,1/,0/0/0/0/,0/0/0/0/
1,17/12/,1/,0/0/0/0/,0/0/0/0/
1,17/11/,1/,0/0/0/0/,0/0/0/0/
