OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI
4,13/5/,5/4/,0/150/50/150/,0/0/10/30/
1,13/13/,1/5/,0/0/0/0/,0/0/0/0/
1,13/4/,1/5/,0/0/0/0/,0/0/0/0/
4,13/12/,5/4/,0/150/50/150/,0/0/10/30/
1,13/22/,1/5/,0/0/0/0/,0/0/0/0/
4,13/24/,5/4/,0/150/50/150/,0/0/10/30/
4,12/5/,5/4/,0/150/50/150/,0/0/10/30/
1,12/13/,1/,0/0/0/0/,0/0/0/0/
1,12/4/,1/5/,0/0/0/0/,0/0/0/0/
4,12/12/,5/4/,0/150/50/150/,0/0/10/30/
2,12/6/,5/2/,0/0/50/150/,10/0/0/10/
2,12/14/,5/2/,0/0/50/150/,10/0/0/10/
1,12/22/,1/5/,0/0/0/0/,0/0/0/0/
1,12/24/,1/5/,0/0/0/0/,0/0/0/0/
2,12/11/,5/2/,0/0/50/150/,10/0/0/10/
1,12/21/,1/5/,0/0/0/0/,0/0/0/0/
1,12/23/,1/5/,0/0/0/0/,0/0/0/0/
2,12/10/,5/2/,0/0/50/150/,10/0/0/10/
2,12/9/,5/2/,0/0/50/150/,10/0/0/10/
2,12/8/,5/2/,0/0/50/150/,10/0/0/10/
2,12/7/,5/2/,0/0/50/150/,10/0/0/10/
1,12/16/,1/,0/0/0/0/,0/0/0/0/
1,12/17/,1/,0/0/0/0/,0/0/0/0/
1,12/18/,1/5/,0/0/0/0/,0/0/0/0/
1,12/19/,1/5/,0/0/0/0/,0/0/0/0/
1,12/20/,1/5/,0/0/0/0/,0/0/0/0/
4,14/5/,4/5/,0/150/50/150/,0/0/10/30/
1,14/13/,1/,0/0/0/0/,0/0/0/0/
1,14/4/,1/5/,0/0/0/0/,0/0/0/0/
4,14/12/,4/,0/150/50/150/,0/0/10/30/
4,14/6/,4/5/,0/150/50/150/,0/0/10/30/
2,14/14/,2/,0/0/50/150/,10/0/0/10/
1,14/22/,1/5/,0/0/0/0/,0/0/0/0/
4,14/7/,4/5/,0/150/50/150/,0/0/10/30/
4,14/23/,5/4/,0/150/50/150/,0/0/10/30/
4,14/8/,4/5/,0/150/50/150/,0/0/10/30/
4,14/9/,4/,0/150/50/150/,0/0/10/30/
1,14/15/,1/,0/0/0/0/,0/0/0/0/
4,14/16/,4/,0/150/50/150/,0/0/10/30/
1,11/5/,1/5/,0/0/0/0/,0/0/0/0/
1,11/13/,1/,0/0/0/0/,0/0/0/0/
1,11/4/,1/5/,0/0/0/0/,0/0/0/0/
1,11/12/,1/,0/0/0/0/,0/0/0/0/
2,11/22/,5/2/,0/0/50/150/,10/0/0/10/
1,11/14/,1/,0/0/0/0/,0/0/0/0/
1,11/11/,1/,0/0/0/0/,0/0/0/0/
1,11/10/,1/,0/0/0/0/,0/0/0/0/
1,11/9/,1/,0/0/0/0/,0/0/0/0/
1,11/8/,1/,0/0/0/0/,0/0/0/0/
1,11/7/,1/5/,0/0/0/0/,0/0/0/0/
1,11/6/,1/5/,0/0/0/0/,0/0/0/0/
1,11/16/,1/,0/0/0/0/,0/0/0/0/
4,11/17/,5/4/,0/150/50/150/,0/0/10/30/
4,11/18/,5/4/,0/150/50/150/,0/0/10/30/
4,11/19/,5/4/,0/150/50/150/,0/0/10/30/
4,11/20/,5/4/,0/150/50/150/,0/0/10/30/
1,11/21/,1/5/,0/0/0/0/,0/0/0/0/
1,11/15/,1/,0/0/0/0/,0/0/0/0/
1,15/5/,1/5/,0/0/0/0/,0/0/0/0/
1,15/13/,1/,0/0/0/0/,0/0/0/0/
1,15/4/,1/5/,0/0/0/0/,0/0/0/0/
4,15/12/,4/,0/150/50/150/,0/0/10/30/
1,15/22/,1/5/,0/0/0/0/,0/0/0/0/
1,15/6/,1/5/,0/0/0/0/,0/0/0/0/
1,15/7/,1/5/,0/0/0/0/,0/0/0/0/
1,15/8/,1/5/,0/0/0/0/,0/0/0/0/
1,15/15/,1/,0/0/0/0/,0/0/0/0/
2,15/14/,2/,0/0/50/150/,10/0/0/10/
4,15/16/,4/,0/150/50/150/,0/0/10/30/
1,15/9/,1/,0/0/0/0/,0/0/0/0/
4,15/23/,5/4/,0/150/50/150/,0/0/10/30/
4,15/3/,5/4/,0/150/50/150/,0/0/10/30/
4,16/7/,4/5/,0/150/50/150/,0/0/10/30/
1,16/15/,1/,0/0/0/0/,0/0/0/0/
4,16/6/,4/5/,0/150/50/150/,0/0/10/30/
2,16/14/,2/,0/0/50/150/,10/0/0/10/
4,16/5/,4/5/,0/150/50/150/,0/0/10/30/
1,16/13/,1/,0/0/0/0/,0/0/0/0/
1,16/4/,1/5/,0/0/0/0/,0/0/0/0/
4,16/8/,4/5/,0/150/50/150/,0/0/10/30/
1,16/9/,1/,0/0/0/0/,0/0/0/0/
2,16/12/,2/,0/0/50/150/,10/0/0/10/
1,16/22/,1/5/,0/0/0/0/,0/0/0/0/
4,16/3/,5/4/,0/150/50/150/,0/0/10/30/
2,16/10/,2/,0/0/50/150/,10/0/0/10/
2,16/11/,2/,0/0/50/150/,10/0/0/10/
3,16/21/,5/3/,0/300/50/150/,0/10/0/20/
4,16/20/,5/4/,0/150/50/150/,0/0/10/30/
1,17/9/,1/,0/0/0/0/,0/0/0/0/
4,17/8/,4/5/,0/150/50/150/,0/0/10/30/
1,17/15/,1/,0/0/0/0/,0/0/0/0/
1,17/14/,1/,0/0/0/0/,0/0/0/0/
4,17/5/,4/5/,0/150/50/150/,0/0/10/30/
1,17/4/,1/5/,0/0/0/0/,0/0/0/0/
4,17/3/,5/4/,0/150/50/150/,0/0/10/30/
1,17/13/,1/,0/0/0/0/,0/0/0/0/
1,17/12/,1/,0/0/0/0/,0/0/0/0/
1,17/22/,1/5/,0/0/0/0/,0/0/0/0/
2,17/10/,2/,0/0/50/150/,10/0/0/10/
1,17/20/,1/5/,0/0/0/0/,0/0/0/0/
