OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/HAS_HOME/HAS_WORK_PLACE/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY
6,1125.000000,502.940338,20/15/15/3/N/N/,20/15/20/16/21/16/22/16/22/15/22/14/22/13/22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/15/3/,15,0.000000,6.317527,6,5,0.000000,9.808987,52.518257,21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/15/3/,22/9/20/15/15/3/22/10/,N,34.505657,51.148258,0,185
6,25.000000,1125.000000,17/10/26/10/0/22/,17/10/17/11/18/11/19/11/20/11/21/11/22/11/23/11/24/11/25/11/26/11/26/10/,14,0.000000,6.658659,6,3,0.853358,4.004796,82.560684,N,0/22/N/N/N/N/0/22/,N,28.896488,39.947445,0,1573
6,325.000000,794.602905,9/14/5/18/N/N/,9/14/9/13/8/13/7/13/6/13/6/14/6/15/6/16/6/17/6/18/5/18/,15,0.000000,20.818085,5,5,0.000000,5.763546,66.945374,6/17/6/18/5/18/,6/16/9/14/5/18/6/15/,N,21.990479,30.854441,1,240
6,701.073547,675.000000,22/4/19/5/N/N/,22/4/21/4/20/4/19/4/19/5/,15,0.000000,6.271628,6,4,0.000000,10.436588,69.039146,22/4/22/5/22/6/22/7/22/8/22/9/22/10/22/11/21/11/20/11/19/11/18/11/17/11/17/12/17/13/16/13/15/13/,14/13/5/13/22/4/14/13/,5/,11.068365,80.483582,0,1281
6,1325.000000,925.000000,26/18/23/7/N/N/,26/18/25/18/25/17/25/16/25/15/25/14/25/13/25/12/25/11/24/11/23/11/22/11/22/10/22/9/22/8/22/7/23/7/,14,0.000000,13.391292,7,1,2.621188,6.141527,77.363380,N,26/18/N/N/N/N/26/18/,5/,52.502331,78.227264,0,815
6,1125.000000,430.890717,18/20/21/5/16/21/,18/20/17/20/17/21/17/22/18/22/19/22/20/22/21/22/22/22/23/22/24/22/24/21/25/21/25/20/25/19/25/18/25/17/25/16/25/15/25/14/25/13/25/12/25/11/24/11/23/11/22/11/22/10/22/9/22/8/22/7/22/6/22/5/21/5/,15,0.000000,6.313909,7,6,0.000000,9.347513,64.261612,22/10/22/11/22/12/22/13/22/14/22/15/22/16/21/16/20/16/19/16/19/17/19/18/19/19/18/19/17/19/17/20/17/21/16/21/,22/9/21/5/16/21/22/8/,5/,3.251846,33.637333,0,266
6,1125.000000,475.000000,21/13/26/16/N/N/,21/13/22/13/22/12/22/11/23/11/24/11/25/11/25/12/25/13/25/14/25/15/25/16/26/16/,15,0.000000,7.594291,5,4,0.000000,5.872469,91.172211,21/13/22/13/22/12/22/11/,22/10/20/6/21/13/22/9/,N,8.519247,48.716610,0,676
6,1125.000000,527.071838,16/10/14/9/N/N/,16/10/16/9/15/9/14/9/,15,0.000000,21.369617,5,4,0.000000,10.674763,79.312057,16/10/16/9/17/9/18/9/19/9/20/9/21/9/22/9/,22/10/21/12/16/10/22/10/,N,1.863358,23.386826,0,248
6,1140.248047,925.000000,23/20/20/5/N/N/,23/20/23/19/23/18/22/18/22/17/22/16/22/15/22/14/22/13/22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/16/4/17/4/18/4/19/4/20/4/20/5/,15,0.000000,13.761663,4,4,0.000000,4.032943,65.680222,23/20/23/19/,23/18/20/5/23/20/22/18/,N,9.423371,19.394138,1,303
6,625.000000,575.000000,12/11/12/12/N/N/,12/11/11/11/11/12/12/12/,14,0.000000,18.175877,6,1,0.183099,5.038843,97.124084,N,12/11/N/N/N/N/12/11/,N,14.281977,49.866886,0,1065
6,625.000000,375.000000,12/7/13/5/N/N/,12/7/11/7/11/6/11/5/11/4/12/4/13/4/13/5/,14,0.000000,16.804365,7,1,2.134273,4.714798,87.837318,N,12/7/N/N/N/N/12/7/,5/,17.780827,63.181763,0,838
6,925.000000,1025.000000,18/20/21/5/N/N/,18/20/17/20/17/21/17/22/18/22/19/22/20/22/21/22/22/22/23/22/24/22/24/21/25/21/25/20/25/19/25/18/25/17/25/16/25/15/25/14/25/13/25/12/25/11/24/11/23/11/22/11/22/10/22/9/22/8/22/7/22/6/22/5/21/5/,14,0.000000,12.003865,5,1,2.720140,9.315935,91.561890,N,18/20/N/N/N/N/18/20/,5/,15.422429,30.018267,0,327
6,1125.000000,741.765320,21/15/16/3/N/N/,21/15/22/15/22/14/22/13/22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/16/4/16/3/,15,0.000000,16.729668,5,4,0.000000,9.744497,83.294052,21/15/,22/15/23/10/21/15/22/14/,N,3.251846,59.069107,0,491
6,1075.000000,775.000000,21/15/16/3/N/N/,21/15/22/15/22/14/22/13/22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/16/4/16/3/,14,0.000000,15.744769,5,1,3.266114,3.550842,79.078522,N,21/15/N/N/N/N/21/15/,5/,13.790422,18.433195,0,277
6,1067.925781,475.000000,24/13/14/12/N/N/,24/13/25/13/25/12/25/11/24/11/23/11/22/11/21/11/20/11/19/11/18/11/17/11/17/12/17/13/16/13/15/13/14/13/14/12/,15,0.000000,6.517960,6,4,0.000000,7.787157,91.298935,24/13/25/13/25/12/25/11/24/11/23/11/22/11/22/10/22/9/,21/9/20/6/24/13/21/9/,N,3.251846,70.962845,0,455
6,961.279968,775.000000,15/14/22/23/N/N/,15/14/15/15/16/15/17/15/18/15/19/15/19/16/19/17/19/18/19/19/18/19/17/19/17/20/17/21/17/22/18/22/19/22/20/22/21/22/22/22/22/23/,15,0.000000,23.726349,6,4,0.000000,6.819415,80.436882,15/14/15/15/16/15/17/15/,18/15/22/23/15/14/19/15/,N,3.266114,48.059464,1,682
6,1221.872925,575.000000,24/13/14/12/N/N/,24/13/25/13/25/12/25/11/24/11/23/11/22/11/21/11/20/11/19/11/18/11/17/11/17/12/17/13/16/13/15/13/14/13/14/12/,15,0.000000,16.477070,6,5,0.000000,8.609007,63.500084,22/11/21/11/20/11/19/11/18/11/17/11/17/12/17/13/16/13/15/13/14/13/14/12/,23/11/24/13/14/12/24/11/,5/,20.455881,67.984604,0,381
6,1125.000000,752.534424,20/15/15/3/N/N/,20/15/20/16/21/16/22/16/22/15/22/14/22/13/22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/15/3/,15,0.000000,13.773979,8,4,0.000000,5.662978,69.565323,20/15/20/16/21/16/22/16/,22/15/15/3/20/15/22/15/,N,56.875069,62.404789,0,537
6,775.000000,276.957031,22/21/17/5/23/10/,22/21/22/22/23/22/24/22/24/21/25/21/25/20/25/19/25/18/25/17/25/16/25/15/25/14/25/13/25/12/25/11/24/11/23/11/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/16/4/17/4/17/5/,15,0.000000,19.905121,6,6,0.000000,10.624747,63.057663,15/7/15/8/15/9/16/9/17/9/18/9/19/9/20/9/21/9/22/9/22/10/23/10/,15/6/17/5/23/10/15/5/,5/,3.251846,72.075829,0,331
6,425.000000,925.000000,12/11/12/12/8/18/,12/11/11/11/11/12/12/12/,14,0.000000,15.588353,6,3,2.358207,8.515287,54.866722,N,8/18/N/N/N/N/8/18/,N,17.066715,25.963404,0,264
6,425.000000,725.000000,8/14/14/16/N/N/,8/14/8/13/9/13/10/13/11/13/12/13/13/13/14/13/15/13/16/13/17/13/17/14/17/15/16/15/15/15/14/15/14/16/,14,0.000000,7.048509,6,1,9.983138,11.812376,98.669800,N,N/N/N/N/N/N/8/14/,5/,19.564348,27.552727,0,191
6,1125.000000,707.194824,20/15/15/3/N/N/,20/15/20/16/21/16/22/16/22/15/22/14/22/13/22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/15/3/,15,0.000000,13.692045,5,5,0.000000,8.255735,83.437195,22/12/22/11/22/10/22/9/21/9/20/9/19/9/18/9/17/9/16/9/15/9/15/8/15/7/15/6/15/5/15/4/15/3/,22/13/20/15/15/3/22/14/,N,21.290407,31.524218,0,245
6,1128.330566,625.000000,3/23/14/5/N/N/,3/23/3/22/3/21/4/21/5/21/6/21/7/21/8/21/9/21/10/21/11/21/12/21/12/20/12/19/12/18/12/17/12/16/11/16/11/15/11/14/11/13/11/12/11/11/11/10/11/9/11/8/11/7/11/6/11/5/11/4/12/4/13/4/14/4/14/5/,15,0.000000,15.956357,5,4,0.000000,8.689850,61.547264,3/23/3/22/3/21/4/21/5/21/6/21/7/21/8/21/9/21/10/21/11/21/12/21/12/22/13/22/14/22/15/22/16/22/17/22/17/21/17/20/17/19/18/19/19/19/19/18/19/17/19/16/20/16/21/16/22/16/22/15/22/14/22/13/,22/12/23/12/3/23/22/12/,5/,0.765221,68.289078,0,155
