OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,0/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,0/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,2/4/,4/,0/150/50/150/,0/0/10/300/,6.890101,6.888000,resource/tile/Buildings.png
1,3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-1/0/,2/,0/0/50/150/,3/0/0/30/,10.812011,13.041104,resource/tile/Buildings.png
1,-1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-1/-4/,2/,50/0/48/150/,10/0/0/150/,8.387361,13.041104,resource/tile/Buildings.png
1,4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,4/3/,4/,0/150/50/150/,0/0/10/300/,6.890644,6.888000,resource/tile/Buildings.png
4,4/4/,4/,0/150/50/150/,0/0/10/300/,6.890358,6.888000,resource/tile/Buildings.png
1,4/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,4/-6/,2/,0/0/50/150/,3/0/0/30/,13.044787,13.041104,resource/tile/Buildings.png
2,4/-5/,2/,0/0/50/150/,3/0/0/30/,10.745410,13.041104,resource/tile/Buildings.png
2,4/-4/,2/,0/0/50/150/,3/0/0/30/,8.557076,13.041104,resource/tile/Buildings.png
1,5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,6/0/,4/,0/150/50/150/,0/0/10/300/,6.890605,6.888000,resource/tile/Buildings.png
1,6/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,6/-2/,3/4/,50/300/50/150/,0/15/2/220/,15.344472,65.447998,resource/tile/Buildings.png
2,6/-6/,2/,50/0/48/150/,10/0/0/150/,8.357100,13.041104,resource/tile/Buildings.png
1,-2/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-2/-4/,2/,50/0/48/150/,10/0/0/150/,13.041442,13.041104,resource/tile/Buildings.png
1,-3/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-3/-4/,2/,50/0/48/150/,10/0/0/150/,11.768456,13.041104,resource/tile/Buildings.png
1,-4/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,7/-2/,3/4/,0/300/50/150/,0/3/1/50/,6.151154,65.447998,resource/tile/Buildings.png
1,8/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,9/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,9/-7/,2/4/,50/150/50/150/,2/0/30/1000/,6.889777,6.888000,resource/tile/Buildings.png
