OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI
1,16/11/,1/,0/0/0/0/,0/0/0/0/
1,16/12/,1/,0/0/0/0/,0/0/0/0/
1,17/12/,1/,0/0/0/0/,0/0/0/0/
1,17/13/,1/,0/0/0/0/,0/0/0/0/
1,12/9/,1/5/,0/0/0/0/,0/0/0/0/
1,18/14/,1/,0/0/0/0/,0/0/0/0/
1,18/15/,1/,0/0/0/0/,0/0/0/0/
3,15/9/,3/5/,0/300/50/150/,0/10/0/20/
1,15/10/,1/,0/0/0/0/,0/0/0/0/
4,15/11/,4/,0/150/50/150/,0/0/10/30/
1,8/12/,1/5/,0/0/0/0/,0/0/0/0/
1,8/11/,1/5/,0/0/0/0/,0/0/0/0/
1,8/21/,1/,0/0/0/0/,0/0/0/0/
2,8/10/,5/2/,0/0/50/150/,10/0/0/10/
1,7/12/,1/,0/0/0/0/,0/0/0/0/
1,9/10/,1/,0/0/0/0/,0/0/0/0/
1,10/10/,1/,0/0/0/0/,0/0/0/0/
1,10/9/,1/5/,0/0/0/0/,0/0/0/0/
1,11/9/,1/5/,0/0/0/0/,0/0/0/0/
1,13/9/,1/5/,0/0/0/0/,0/0/0/0/
1,14/9/,1/5/,0/0/0/0/,0/0/0/0/
1,14/10/,1/,0/0/0/0/,0/0/0/0/
