OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/HAS_HOME/HAS_WORK_PLACE/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,7.175041,18.356182,3,0,0.000000,5.098127,88.430946,N,N/N/N/N/N/N/0/0/,5/,0.000000,73.197205,0,62
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,7.271489,17.973621,7,0,0.000000,11.019800,75.108307,N,N/N/N/N/N/N/0/0/,5/,0.000000,82.313896,0,78
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,20.458040,22.093239,4,0,0.000000,8.846531,88.949982,N,N/N/N/N/N/N/0/0/,5/,0.000000,53.069191,0,68
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,0.193920,15.790968,3,0,0.000000,7.063517,87.748657,N,N/N/N/N/N/N/0/0/,5/,0.000000,45.276981,0,76
6,611.742737,475.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,15,0.000000,17.530615,8,4,0.000000,10.102262,68.364449,8/10/9/10/10/10/10/9/,11/9/15/9/8/10/12/9/,5/,2.326544,16.292313,0,54
6,425.000000,525.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,14,0.000000,22.136644,7,1,3.199664,8.875053,86.831161,N,8/10/N/N/N/N/8/10/,N,2.229536,60.112610,1,84
6,436.149261,525.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,15,0.000000,8.235916,8,4,0.000000,3.658607,50.117023,N,8/10/15/9/8/10/8/10/,N,7.659297,47.688480,0,65
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,6.204913,14.771614,3,0,0.000000,7.951972,59.252773,N,N/N/N/N/N/N/0/0/,5/,0.000000,49.929409,0,68
6,425.000000,525.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,14,0.000000,13.975831,8,1,8.823345,9.948268,95.065826,N,8/10/N/N/N/N/8/10/,N,2.714880,60.248924,1,69
6,425.000000,525.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,14,0.000000,6.893210,7,1,4.168752,4.874743,56.527668,N,8/10/N/N/N/N/8/10/,5/,11.246832,42.387993,0,111
6,425.000000,525.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,14,0.000000,6.239687,6,1,2.229536,6.342723,81.181198,N,8/10/N/N/N/N/8/10/,5/,6.980497,17.210651,0,78
6,438.807068,525.000000,8/10/15/11/N/N/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,15,0.000000,15.842880,6,4,0.000000,6.462977,53.325336,N,8/10/15/9/8/10/8/10/,5/,6.883617,14.975014,0,77
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,2.908303,21.557268,3,0,0.000000,5.762944,94.207077,N,N/N/N/N/N/N/0/0/,5/,0.000000,77.268799,0,51
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,13.767775,15.484493,7,0,0.000000,6.470900,89.830650,N,N/N/N/N/N/N/0/0/,5/,0.000000,41.352272,0,92
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,2.520080,9.384733,3,0,0.000000,9.776402,97.172104,N,N/N/N/N/N/N/0/0/,5/,0.000000,13.940527,0,86
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,1.356768,13.346684,2,0,0.000000,5.662037,68.931519,N,N/N/N/N/N/N/0/0/,5/,0.000000,49.003387,0,55
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,4.944432,17.660517,6,0,0.000000,7.179484,79.085571,N,N/N/N/N/N/N/0/0/,5/,0.000000,16.858412,0,85
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,9.308146,23.948326,7,0,0.000000,6.672436,80.534225,N,N/N/N/N/N/N/0/0/,5/,0.000000,58.124931,0,92
6,775.000000,510.124512,8/10/15/11/15/9/,8/10/9/10/10/10/10/9/11/9/12/9/13/9/14/9/14/10/15/10/15/11/,15,0.000000,11.293124,5,6,0.000000,3.084894,76.709488,N,15/9/15/11/15/9/15/10/,5/,0.872640,54.904873,0,129
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,7.950129,21.701332,3,0,0.000000,7.899676,63.225620,N,N/N/N/N/N/N/0/0/,5/,0.000000,83.982628,0,100
