OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,0/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,0/-1/,2/,0/0/0/0/,3/0/0/30/,13.041407,13.041104,resource/tile/Buildings.png
3,0/1/,3/4/,0/0/0/0/,0/3/1/50/,34.596889,65.447998,resource/tile/Buildings.png
1,1/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,2/-5/,3/4/,0/0/0/0/,0/3/1/50/,21.743332,65.447998,resource/tile/Buildings.png
2,2/-1/,2/,0/0/0/0/,10/0/0/150/,4.072281,13.041104,resource/tile/Buildings.png
2,2/-2/,2/,0/0/0/0/,10/0/0/150/,4.544845,13.041104,resource/tile/Buildings.png
2,2/-3/,2/,0/0/0/0/,10/0/0/150/,5.284316,13.041104,resource/tile/Buildings.png
4,2/1/,2/4/,0/0/0/0/,2/0/30/1000/,6.890236,6.888000,resource/tile/Buildings.png
1,3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,8/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,9/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,9/-1/,4/,0/0/0/0/,0/0/10/300/,6.890160,6.888000,resource/tile/Buildings.png
1,10/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-1/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
