OBJECT_TYPE,POSITION_X,POSITION_Y,HOME/WORK/SHOP_GRID,PATH_TO_WORK_PLACE,IS_CITIZEN/HAS_HOME/HAS_WORK_PLACE/IS_MOVING,FIND_TIMER,FIND_INTERVAL,PATIENCE,STATUS,LIFE_TIEMR,LIFE_INTERVAL,SPEED,WALK_PATH,NEXT/START/DEST/PRE_GRID,TAGS,SHOP_TIMER,SHOP_INTERVAL,SHOP_NEED,MONEY
6,241.129715,25.000000,0/-1/9/-1/0/1/,0/-1/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,15,0.000000,15.616421,9,6,0.000000,3.051201,65.753922,3/0/2/0/1/0/0/0/0/1/,4/0/9/-1/0/1/4/0/,N,4.308707,19.707127,0,136
6,391.438477,25.000000,2/-1/9/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,15,0.000000,16.669701,4,5,0.000000,4.744317,56.514751,9/0/9/-1/,8/0/2/-1/9/-1/7/0/,N,13.859241,54.852863,0,128
6,75.000000,-53.929493,0/-1/9/-1/N/N/,0/-1/0/0/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,15,0.000000,14.828178,8,4,0.000000,5.945779,54.326973,0/-1/,1/-1/2/-5/0/-1/1/-2/,N,4.054214,55.297043,0,131
6,125.000000,75.000000,2/-3/2/1/N/N/,2/-3/1/-3/1/-2/1/-1/1/0/2/0/2/1/,14,0.000000,12.182474,9,2,7.441766,8.360106,79.208183,N,2/1/N/N/N/N/2/1/,N,30.827703,65.210136,0,72
6,125.000000,60.368855,2/-1/2/1/N/N/,2/-1/2/0/2/1/,15,0.000000,20.925440,6,5,0.000000,4.770219,59.555466,N,2/1/2/-1/2/1/2/1/,N,46.644356,52.247890,0,145
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,13.295657,16.391586,3,0,0.000000,8.560911,57.856514,N,N/N/N/N/N/N/0/0/,N,0.000000,64.487144,0,81
6,475.000000,-25.000000,2/-1/9/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,14,0.000000,18.797647,8,2,0.290870,4.727090,69.363243,N,9/-1/N/N/N/N/9/-1/,N,0.612045,68.215340,1,139
6,125.000000,75.000000,2/-1/2/1/N/N/,2/-1/2/0/2/1/,14,0.000000,21.844841,5,2,9.920268,9.987436,67.313477,N,2/1/N/N/N/N/2/1/,N,67.255959,82.969604,0,84
6,0.000000,0.000000,N/N/N/N/N/N/,N,0,7.811394,17.679234,3,0,0.000000,3.119564,57.980560,N,N/N/N/N/N/N/0/0/,N,0.000000,56.083607,0,71
6,211.388809,25.000000,2/-2/9/-1/2/-5/,2/-2/1/-2/1/-1/1/0/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,15,0.000000,13.392756,3,6,0.000000,9.618327,83.189438,2/0/1/0/1/-1/1/-2/1/-3/1/-4/1/-5/2/-5/,3/0/9/-1/2/-5/4/0/,N,3.769394,69.304741,0,139
6,154.120880,25.000000,2/-1/9/-1/N/N/,2/-1/2/0/3/0/4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,15,0.000000,14.172178,4,5,0.000000,10.145840,78.776978,4/0/5/0/6/0/7/0/8/0/9/0/9/-1/,3/0/2/-1/9/-1/3/0/,N,62.989632,64.735062,1,162
